Measure Mode: process_time_time
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 0.021020
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.24      0.000     0.000     0.000     0.000       16   ActiveSupport::SafeBuffer#safe_concat
  0.24      0.000     0.000     0.000     0.000       24   Set#add
  0.24      0.000     0.000     0.000     0.000       73   Kernel#nil?
  0.23      0.000     0.000     0.000     0.000        9   Analytical::Modules::Base#init_location
  0.22      0.000     0.000     0.000     0.000        2   ActionDispatch::Response#initialize
  0.22      0.000     0.000     0.000     0.000       14   Hash#merge
  0.22      0.000     0.000     0.000     0.000       40   Hash#update
  0.22      0.000     0.000     0.000     0.000       39  *Hash#_get
  0.21      0.000     0.000     0.000     0.000       31   <Class::Time>#now
  0.21      0.000     0.000     0.000     0.000       42   Hash#delete
  0.21      0.000     0.000     0.000     0.000       72   Symbol#==
  0.20      0.000     0.000     0.000     0.000       12   ActionView::OutputBuffer#<<
  0.20      0.000     0.000     0.000     0.000       20   Array#join
  0.20      0.000     0.000     0.000     0.000       32   Kernel#instance_variable_defined?
  0.20      0.000     0.000     0.000     0.000       24   Sprockets::URIUtils#build_file_digest_uri
  0.20      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_checkout_callbacks
  0.19      0.000     0.000     0.000     0.000       62   Kernel#instance_of?
  0.19      0.000     0.000     0.000     0.000       57   Kernel#block_given?
  0.19      0.000     0.000     0.000     0.000       38   ActiveSupport::SafeBuffer#html_safe?
  0.19      0.000     0.000     0.000     0.000       58   Hash#include?
  0.19      0.000     0.000     0.000     0.000       31   Time#initialize
  0.19      0.000     0.000     0.000     0.000       26   MonitorMixin#mon_check_owner
  0.19      0.000     0.000     0.000     0.000       11   ERB::Util#unwrapped_html_escape
  0.18      0.000     0.000     0.000     0.000        7   Hash#transform_keys
  0.18      0.020     0.000     0.000     0.020        1   ActionDispatch::Integration::Session#process
  0.18      0.000     0.000     0.000     0.000       12   Sprockets::HTTPUtils#find_best_q_match
  0.18      0.001     0.000     0.000     0.001        8   ActiveSupport::Logger#add
  0.18      0.000     0.000     0.000     0.000        7   ActionDispatch::Request#initialize
  0.18      0.000     0.000     0.000     0.000        5   String#%
  0.18      0.000     0.000     0.000     0.000       12   Array#delete_if
  0.18      0.000     0.000     0.000     0.000       13   Array#include?
  0.18      0.000     0.000     0.000     0.000       18   ActiveSupport::Subscriber#event_stack
  0.17      0.000     0.000     0.000     0.000       43   Kernel#instance_variable_get
  0.17      0.000     0.000     0.000     0.000        6   ActiveSupport::Subscriber#start
  0.17      0.000     0.000     0.000     0.000        6   ActiveSupport::Notifications::Event#initialize
  0.17      0.000     0.000     0.000     0.000       24   Enumerable#each_entry
  0.17      0.000     0.000     0.000     0.000       24   Enumerable#find
  0.17      0.000     0.000     0.000     0.000       24   Enumerable#any?
  0.17      0.000     0.000     0.000     0.000        4   ActionView::Helpers::TagHelper#content_tag_string
  0.17      0.000     0.000     0.000     0.000       29   NilClass#nil?
  0.16      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetUrlHelper#compute_asset_path
  0.16      0.000     0.000     0.000     0.000       12   Hash#merge!
  0.16      0.000     0.000     0.000     0.000       34   String#to_sym
  0.16      0.000     0.000     0.000     0.000        6   Array#delete
  0.16      0.000     0.000     0.000     0.000        8   ActionView::Resolver::Cache#cache
  0.16      0.001     0.000     0.000     0.001       13   ActionDispatch::Request::Session#[]
  0.16      0.000     0.000     0.000     0.000        2   Sprockets::PathUtils#relative_path?
  0.16      0.000     0.000     0.000     0.000        7   ActionView::Helpers::TagHelper#tag_option
  0.15      0.000     0.000     0.000     0.000       13   Array#sort_by!
  0.15      0.000     0.000     0.000     0.000       11   Hash#each_key
  0.15      0.000     0.000     0.000     0.000       51   Fixnum#|
  0.15      0.001     0.000     0.000     0.001       24  *Mutex#synchronize
  0.15      0.000     0.000     0.000     0.000        1   Time#to_default_s
  0.15      0.000     0.000     0.000     0.000        4   ActiveSupport::Configurable#config
  0.15      0.000     0.000     0.000     0.000       17   String#==
  0.15      0.000     0.000     0.000     0.000       32   String#force_encoding
  0.14      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#setup_fixtures
  0.14      0.000     0.000     0.000     0.000        7   ActionDispatch::Http::FilterParameters#initialize
  0.14      0.000     0.000     0.000     0.000        2   Array#reject!
  0.14      0.000     0.000     0.000     0.000       18   Hash#[]
  0.14      0.015     0.000     0.000     0.015        9  *ActiveSupport::Notifications::Instrumenter#instrument
  0.14      0.000     0.000     0.000     0.000        8   ActionView::Resolver#cached
  0.14      0.000     0.000     0.000     0.000       24   ActionDispatch::Request::Session#loaded?
  0.14      0.000     0.000     0.000     0.000       11   ActionView::ViewPaths#lookup_context
  0.14      0.001     0.000     0.000     0.001       15   ActionDispatch::Request::Session#load_for_read!
  0.14      0.000     0.000     0.000     0.000        8   String#=~
  0.14      0.000     0.000     0.000     0.000        8   ActiveSupport::TaggedLogging::Formatter#call
  0.14      0.000     0.000     0.000     0.000        7   Fixnum#to_s
  0.14      0.000     0.000     0.000     0.000       16  *Rack::BodyProxy#respond_to?
  0.14      0.000     0.000     0.000     0.000        5   ActionView::Helpers::TagHelper#tag_options
  0.13      0.000     0.000     0.000     0.000       18   ActiveSupport::SubscriberQueueRegistry#get_queue
  0.13      0.001     0.000     0.000     0.001        6   Analytical::InstanceMethods#analytical
  0.13      0.000     0.000     0.000     0.000       42   Hash#[]=
  0.13      0.000     0.000     0.000     0.000       12   Sprockets::Resolve#resolve_alternates
  0.13      0.000     0.000     0.000     0.000       11   ActiveSupport::SafeBuffer#html_escape_interpolated_argument
  0.13      0.000     0.000     0.000     0.000        9   <Module::ActiveSupport::Notifications>#instrumenter
  0.13      0.016     0.000     0.000     0.016       28  *Proc#call
  0.13      0.017     0.000     0.000     0.017        6  *ActiveSupport::Callbacks#__run_callbacks__
  0.13      0.000     0.000     0.000     0.000        7   ActionDispatch::Http::URL#initialize
  0.13      0.000     0.000     0.000     0.000       11   ActiveSupport::SafeBuffer#concat
  0.12      0.020     0.000     0.000     0.020        1   ActiveSupport::Testing::Performance::Metrics::Base#profile
  0.12      0.000     0.000     0.000     0.000        2   Sprockets::Resolve#parse_path_extnames
  0.12      0.000     0.000     0.000     0.000        3   Regexp#initialize
  0.12      0.000     0.000     0.000     0.000        5   Analytical::Modules::Base#process_queued_commands
  0.12      0.000     0.000     0.000     0.000        2   ActionView::Base#unknown_asset_fallback
  0.12      0.000     0.000     0.000     0.000       25   String#initialize
  0.12      0.000     0.000     0.000     0.000        2   String#inspect
  0.12      0.000     0.000     0.000     0.000       23  *Proc#yield
  0.12      0.000     0.000     0.000     0.000        3   ActionView::Helpers::UrlHelper#link_to
  0.12      0.000     0.000     0.000     0.000       24   NilClass#to_s
  0.12      0.000     0.000     0.000     0.000        6   ActiveSupport::HashWithIndifferentAccess#update
  0.12      0.000     0.000     0.000     0.000       26   String#downcase
  0.12      0.000     0.000     0.000     0.000        3   JSON#generate
  0.12      0.000     0.000     0.000     0.000        9   ActiveSupport::Notifications::InstrumentationRegistry#instrumenter_for
  0.11      0.000     0.000     0.000     0.000        2   Rack::Utils#parse_nested_query
  0.11      0.000     0.000     0.000     0.000        3   <Class::File>#file?
  0.11      0.000     0.000     0.000     0.000        2   Sprockets::URIUtils#valid_asset_uri?
  0.11      0.000     0.000     0.000     0.000        1   <Module::Marshal>#dump
  0.11      0.000     0.000     0.000     0.000        2   SQLite3::Database#prepare
  0.11      0.000     0.000     0.000     0.000       12   ActiveSupport::LoggerThreadSafeLevel#level
  0.11      0.000     0.000     0.000     0.000        7   Kernel#tap
  0.11      0.000     0.000     0.000     0.000        4   ActiveSupport::Inflector#camelize
  0.11      0.001     0.000     0.000     0.001       13   Analytical::SessionCommandStore#commands
  0.11      0.000     0.000     0.000     0.000        2   ActionView::Base#initialize
  0.11      0.000     0.000     0.000     0.000       12   Sprockets::CachedEnvironment#entries
  0.11      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::ViewPaths#normalize_name
  0.11      0.019     0.000     0.000     0.019        1   Rack::MockSession#request
  0.11      0.000     0.000     0.000     0.000        6   Time#minus_with_coercion
  0.11      0.000     0.000     0.000     0.000       32   Fixnum#+
  0.11      0.000     0.000     0.000     0.000        8   ActiveSupport::Logger::SimpleFormatter#call
  0.11      0.001     0.000     0.000     0.001       10   ActiveSupport::Notifications::Fanout#finish
  0.11      0.000     0.000     0.000     0.000        1   <Class::Rack::MockRequest>#env_for
  0.10      0.000     0.000     0.000     0.000        3   URI::Parser#split
  0.10      0.000     0.000     0.000     0.000        4   ActiveSupport::Notifications::Fanout::Subscribers::Timed#finish
  0.10      0.000     0.000     0.000     0.000        4   ActionView::LookupContext#formats=
  0.10      0.000     0.000     0.000     0.000        2   <Class::ActionView::Base>#unknown_asset_fallback
  0.10      0.003     0.000     0.000     0.003        2   Sprockets::Resolve#resolve_logical_path
  0.10      0.000     0.000     0.000     0.000       11   ActiveSupport::TaggedLogging::Formatter#current_tags
  0.10      0.000     0.000     0.000     0.000        1   Rack::Test::Session#env_for
  0.10      0.000     0.000     0.000     0.000        8   ActiveSupport::TaggedLogging::Formatter#tags_text
  0.10      0.000     0.000     0.000     0.000        8   Hash#has_key?
  0.10      0.000     0.000     0.000     0.000        4   ActiveSupport::HashWithIndifferentAccess#default
  0.10      0.000     0.000     0.000     0.000       41   Fixnum#^
  0.10      0.000     0.000     0.000     0.000       12   ActiveSupport::LoggerThreadSafeLevel#local_log_id
  0.10      0.000     0.000     0.000     0.000        2   Sprockets::PathUtils#match_path_extname
  0.10      0.000     0.000     0.000     0.000        7   Rack::Request#path_info
