Measure Mode: allocations
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 3216.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.22     52.000     7.000     0.000    45.000        7   ActionView::Helpers::TagHelper#tag_option
  0.22     81.000     7.000     0.000    74.000        1   ActionView::CompiledTemplates#_app_views_page_index_html_erb__1603216814773014619_53499762824280
  0.22      7.000     7.000     0.000     0.000        7   Hash#values
  0.22      7.000     7.000     0.000     0.000        3   Regexp#initialize
  0.19     56.000     6.000     0.000    50.000        2   ActionDispatch::Response#initialize
  0.19     77.000     6.000     0.000    71.000        3   Analytical::Modules::Clicky#init_javascript
  0.19     22.000     6.000     0.000    16.000        1   Rack::Request#GET
  0.19     14.000     6.000     0.000     8.000        3   Analytical::Modules::Google#init_javascript
  0.19      9.000     6.000     0.000     3.000        3   Analytical::Modules::Console#init_javascript
  0.19      9.000     6.000     0.000     3.000        2   ActionDispatch::Http::MimeNegotiation#content_mime_type
  0.19     15.000     6.000     0.000     9.000        2   <Module::URI>#decode_www_form_component
  0.19   2038.000     6.000     0.000  2032.000        3  *ActionView::Template#render
  0.19      9.000     6.000     0.000     3.000        1   ActionView::PartialRenderer#retrieve_variable
  0.19     71.000     6.000     0.000    65.000        3   ActionView::Helpers::UrlHelper#link_to
  0.19      6.000     6.000     0.000     0.000        6   String#encode
  0.19     12.000     6.000     0.000     6.000        6   JSON::Ext::Generator::GeneratorMethods::String#to_json_without_active_support_encoder
  0.19      6.000     6.000     0.000     0.000        3   Symbol#slice
  0.19     52.000     6.000     0.000    46.000        1   Rack::Response#initialize
  0.19     98.000     6.000     0.000    92.000        1   Rack::Test::Session#env_for
  0.19    112.000     6.000     0.000   106.000        6   ActiveSupport::Subscriber#finish
  0.19     14.000     6.000     0.000     8.000        6   ActiveSupport::Notifications::Event#initialize
  0.19      6.000     6.000     0.000     0.000        6   Module#name
  0.19    801.000     6.000     0.000   795.000        3   Enumerable#detect
  0.19    134.000     6.000     0.000   128.000        3   Analytical::SessionCommandStore#initialize
  0.19      6.000     6.000     0.000     0.000        4   String#sub!
  0.19      6.000     6.000     0.000     0.000        6   Rack::BodyProxy#initialize
  0.19      6.000     6.000     0.000     0.000        2   Sprockets::Resolve#parse_accept_options
  0.16     10.000     5.000     0.000     5.000        2   ActionDispatch::Http::Cache::Response#cache_control_segments
  0.16   2960.000     5.000     0.000  2955.000        1   Rack::MockSession#request
  0.16      8.000     5.000     0.000     3.000        1   <Class::ActionDispatch::Journey::Router::Utils>#normalize_path
  0.16     32.000     5.000     0.000    27.000        1   PageController#_layout
  0.16     26.000     5.000     0.000    21.000        3   Rack::Utils#clean_path_info
  0.16      5.000     5.000     0.000     0.000        1   Analytical::Modules::Google#event
  0.16      5.000     5.000     0.000     0.000        5   Array#*
  0.16   2445.000     5.000     0.000  2440.000        1   ActionController::Instrumentation#process_action
  0.16     15.000     5.000     0.000    10.000        1   ApplicationController#_layout
  0.16   2846.000     5.000     0.000  2841.000        1   Rails::Application#call
  0.16      5.000     5.000     0.000     0.000        8   IO#write
  0.16      5.000     5.000     0.000     0.000        1   Analytical::Modules::Google#track
  0.16   2143.000     5.000     0.000  2138.000        1   ActionView::TemplateRenderer#render_with_layout
  0.16     10.000     5.000     0.000     5.000        1   Rack::ETag#digest_body
  0.16     10.000     5.000     0.000     5.000        5   Analytical::SessionCommandStore#flush
  0.12      4.000     4.000     0.000     0.000        4   ActionView::LookupContext::Accessors#formats
  0.12      4.000     4.000     0.000     0.000        3   String#unpack
  0.12     42.000     4.000     0.000    38.000        4   ActiveSupport::Inflector#camelize
  0.12     34.000     4.000     0.000    30.000        4   ActionView::LookupContext::ViewPaths#args_for_lookup
  0.12      7.000     4.000     0.000     3.000        1   ActionDispatch::Integration::Runner#copy_session_variables!
  0.12      4.000     4.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime
  0.12     82.000     4.000     0.000    78.000        4   ActionView::Helpers::TagHelper#content_tag_string
  0.12     25.000     4.000     0.000    21.000        4   Array#reject
  0.12    435.000     4.000     0.000   431.000        1   ActionView::Helpers::AssetTagHelper#javascript_include_tag
  0.12      4.000     4.000     0.000     0.000        2   ActionController::Renderers#_render_to_body_with_renderer
  0.12      4.000     4.000     0.000     0.000        4   Hash#values_at
  0.12   2716.000     4.000     0.000  2712.000        1   Rails::Rack::Logger#call_app
  0.12     72.000     4.000     0.000    68.000        2   Sprockets::Rails::Helper#compute_integrity?
  0.12      4.000     4.000     0.000     0.000        4   String#capitalize
  0.12      4.000     4.000     0.000     0.000        2   Symbol#[]
  0.12   2032.000     4.000     0.000  2028.000        3  *ActionView::Template#instrument
  0.12      4.000     4.000     0.000     0.000        8   ThreadSafe::NonConcurrentCacheBackend#[]=
